timestamp	statePostal	repVotes	demVotes	otherVotes
84632	IN	57205	25568	1400
84693	KY	75426	91557	2672
84755	IN	57951	26065	1430
84755	KY	76984	91879	2685
84816	IN	65308	28956	1625
84816	KY	82176	93305	2761
84877	KY	83124	95369	2822
84999	IN	81283	40334	2196
85061	KY	96071	112843	3294
85181	IN	81414	40358	2200
85304	IN	104818	55804	2886
85365	IN	104818	55804	2886
85426	IN	105418	56026	2937
85426	KY	120207	127603	3842
85487	IN	120031	66562	3424
85549	IN	121572	67401	3466
85548	KY	130380	134300	4110
85609	KY	131209	134649	4122
85610	IN	123656	68426	3511
85733	IN	123656	68426	3511
85794	IN	124957	69323	3576
85854	KY	151862	139684	4433
86038	IN	125725	69660	3623
86098	KY	156446	141229	4573
86099	IN	125725	69660	3623
86161	IN	130571	71123	3711
86159	KY	157991	141867	4601
86220	KY	158269	141886	4603
86222	IN	130602	71138	3714
86282	KY	165258	144218	4733
86344	IN	132239	71522	3776
86394	KY	165258	144218	4733
86406	IN	141879	75138	4060
86405	KY	165258	144218	4733
86408	KY	165258	144218	4733
86409	VT	0	0	0
86413	VA	0	0	0
86415	AL	0	0	0
86417	FL	0	0	0
86419	GA	0	0	0
86419	SC	0	0	0
86420	NH	16	10	0
86421	VA	0	0	0
86425	VT	0	0	0
86467	KY	180538	148399	5054
86478	FL	33097	24077	319
86530	IN	144695	75780	4187
86528	KY	181757	148662	5115
86539	FL	187330	151189	3117
86590	KY	182384	148772	5130
86591	IN	163657	82026	4656
86605	VA	1253	1083	13
86714	IN	164624	82250	4668
86721	FL	438741	322591	6261
86773	KY	187960	150707	5285
86836	IN	164950	82329	4674
86843	FL	622189	499641	9502
86850	GA	2140	1264	22
86897	IN	170286	85020	4840
86904	FL	622189	499641	9565
86907	VA	1789	1300	23
86912	GA	0	0	0
86958	IN	180204	90174	5095
86965	FL	889424	833771	15629
86965	SC	184	150	8
86968	VA	1832	1493	24
86973	GA	5241	4205	65
87020	IN	235296	145103	6839
87020	KY	199433	155282	5479
87027	FL	1012994	943711	17619
87029	VA	2283	1612	30
87081	IN	253831	151310	7264
87084	KY	200321	155335	5490
87088	FL	1018783	945511	17897
87096	GA	46192	77731	1525
87111	KY	200321	155335	5490
87112	VT	0	0	0
87143	IN	262814	153575	7521
87145	KY	200586	155375	5494
87149	FL	1206574	1084953	19966
87151	VA	2803	2064	41
87158	GA	46720	78445	1533
87204	IN	264450	153858	7583
87210	FL	2129958	2319559	31324
87212	VA	3402	2643	58
87220	GA	49047	80356	1571
87266	IN	269568	156629	7688
87268	KY	202993	156329	5527
87272	FL	2436185	2648620	37259
87273	VA	3973	3300	69
87327	IN	272852	157747	7792
87333	FL	2439472	2649760	37341
87335	VA	5246	3620	95
87342	GA	46720	78445	1533
87388	IN	284345	170676	8119
87390	KY	216781	159875	5745
87391	SC	1095	402	23
87394	FL	2540020	2698816	38641
87404	GA	53793	86421	1671
87449	IN	288557	172999	8283
87455	FL	2543002	2699356	38664
87457	VA	5834	3748	101
87465	GA	72560	95637	1922
87511	IN	312852	243757	9325
87513	SC	1375	687	31
87517	FL	2756483	2951822	42617
87518	VA	7457	4039	110
87527	GA	46720	78445	1533
87573	IN	313408	243901	9349
87574	SC	3326	1316	77
87580	FL	2758382	2952269	42657
87579	VA	13315	8281	215
87589	GA	75700	96979	1954
87634	IN	315882	244287	9413
87635	KY	220068	162264	5837
87635	SC	4326	1712	96
87640	VA	18182	9033	292
87645	FL	2972549	3200055	46947
87650	GA	76181	97166	1958
87695	IN	317907	244623	9449
87696	KY	220776	162844	5851
87696	NH	800	2338	74
87701	VA	17750	8926	290
87712	GA	82380	107581	2098
87756	IN	318131	244645	9456
87757	KY	222736	163141	5895
87757	SC	5972	2312	133
87762	VA	18182	9033	292
87768	FL	3038578	3250032	48060
87774	GA	79240	106239	2066
87781	VT	1699	4961	179
87818	KY	231182	164748	6028
87823	VA	18617	9175	306
87829	FL	3155204	3323365	49186
87835	GA	87276	108833	2163
87844	VT	1848	5408	189
87879	IN	322400	246675	9564
87880	KY	232065	165000	6037
87880	SC	6058	2578	138
87884	VA	20739	10197	353
87890	FL	3247091	3399563	49909
87897	GA	91837	111234	2200
87939	NH	1465	2922	94
87941	KY	243458	166923	6289
87941	SC	7731	3297	181
87945	VA	23175	10657	426
87952	FL	3286304	3414438	50610
87959	GA	87890	109261	2173
87968	VT	2261	6372	233
88001	IN	323383	246823	9599
88002	KY	254069	169476	6451
88006	VA	27759	11966	506
88013	FL	3325130	3439543	51948
88020	GA	96585	113344	2257
88030	VT	2261	6372	233
88063	IN	324226	246978	9626
88063	KY	258305	170911	6548
88067	VA	28895	12406	516
88075	FL	3347964	3459766	52270
88082	MS	0	0	0
88123	SC	10563	3755	231
88124	IN	328556	247984	9765
88125	KY	278514	179169	6949
88128	VA	31343	13996	576
88136	FL	3357696	3462269	52619
88144	GA	87890	109261	2173
88185	IN	330402	248511	9851
88186	KY	283074	180783	7014
88184	SC	12878	4305	265
88189	VA	81283	35698	2038
88197	FL	3393222	3474298	52855
88198	WV	0	0	0
88203	OH	0	0	0
88204	NC	0	0	0
88205	WV	0	0	0
88205	GA	98265	114546	2296
88211	WV	0	0	0
88245	SC	12890	4469	269
88248	KY	291634	182142	7094
88247	NH	2105	3884	127
88251	VA	99286	46521	2602
88258	FL	3662401	3856937	56476
88267	GA	98778	115187	2307
88279	VT	3416	10064	358
88306	SC	14490	5049	344
88308	IN	331496	248655	9889
88309	KY	311345	185579	7483
88312	VA	105669	48309	2706
88321	FL	3686770	3867498	56905
88329	GA	109390	118283	2404
88369	IN	331876	248758	9922
88367	SC	14671	5271	352
88371	KY	316493	187556	7567
88373	VA	93569	40195	2372
88382	FL	3737316	3888791	58060
88390	GA	109390	118283	2404
88429	SC	16025	6226	391
88430	IN	339645	252553	10088
88432	KY	316493	187556	7567
88434	VA	95894	40400	2394
88444	FL	3849885	3963953	59814
88452	GA	109390	118283	2404
88466	VT	4688	11375	437
88490	SC	16469	6289	392
88491	IN	343905	257772	10289
88493	KY	370529	213880	9149
88495	VA	108893	43517	2680
88505	FL	3854557	3966068	59868
88514	GA	110741	119824	2416
88551	SC	17024	6527	396
88553	IN	346280	259630	10371
88556	VA	115214	46350	2894
88567	FL	3868064	3970440	60120
88575	GA	113163	120921	2449
88597	VA	115214	46350	2894
88608	VA	115214	46350	2894
88615	IN	351046	261105	10448
88612	SC	17873	7014	420
88616	KY	374320	214599	9237
88617	NH	2923	5768	172
88618	VA	123792	51927	3237
88629	FL	3919017	4058565	61859
88637	GA	114859	121429	2485
88638	NY	0	0	0
88673	SC	18443	7263	442
88676	IN	354145	261688	10532
88677	KY	375343	214784	9254
88679	VA	194729	170064	5882
88691	FL	4041916	4186332	64506
88698	GA	116895	123096	2527
88737	IN	354820	261798	10545
88738	KY	382832	217172	9423
88740	VA	219378	187306	6956
88752	FL	4236106	4456633	70635
88760	GA	124027	124536	2580
88798	IN	354903	261831	10547
88799	KY	384616	217481	9460
88802	VA	225051	189192	7072
88809	OH	87206	265405	3945
88813	FL	4454576	4609317	75372
88822	GA	125805	125053	2605
88856	SC	19086	7532	462
88859	IN	357316	262325	10623
88861	KY	406681	226493	9891
88863	VA	228972	190436	7160
88874	FL	4458361	4610449	75471
88883	GA	126637	126032	2628
88917	SC	20210	8154	500
88921	IN	385404	281194	11594
88922	KY	409184	227870	9935
88921	NH	3571	7053	198
88924	VA	230716	190841	7188
88930	OH	147324	331766	5355
88931	WV	13461	16164	586
88937	FL	4524618	4683734	76283
88945	GA	130453	136425	2737
88978	SC	23231	9163	576
88982	IN	386714	281496	11653
88984	KY	420508	233350	10401
88985	VA	235732	194765	7371
88995	NC	890	270	22
88999	FL	4525521	4684086	76301
89006	GA	138032	144234	2875
89040	SC	26694	14319	656
89045	KY	426618	236069	10494
89046	VA	237411	195620	7416
89057	NC	1129	376	30
89060	FL	4531999	4686927	76434
89101	SC	26958	14563	680
89104	IN	388399	282008	11733
89106	KY	426618	236069	10494
89107	VA	244521	197392	7623
89118	NC	1272	543	34
89121	FL	4550053	4695148	76815
89129	GA	146683	145746	2960
89148	VT	5225	12641	515
89162	SC	27898	15442	707
89166	IN	395104	283097	11913
89168	KY	442243	240625	11041
89168	VA	339984	242580	10208
89174	OH	198184	368710	6435
89179	NC	1434	616	39
89182	FL	4579836	4712003	77382
89190	GA	148372	147172	2985
89223	SC	28012	15646	720
89229	IN	415284	294177	12457
89229	KY	446523	241228	11090
89229	VA	344633	244696	10445
89235	OH	354927	699393	10834
89244	FL	4587027	4714043	77508
89252	GA	148788	147856	2991
89272	VT	5692	13069	541
89284	SC	28143	15721	733
89290	KY	455027	244257	11283
89289	NH	4151	8195	224
89290	IN	452536	310889	13395
89290	VA	348966	246281	10545
89297	OH	401066	749348	12133
89306	FL	4690590	4757776	78271
89314	GA	151687	148688	3044
89335	VT	7950	16576	696
89345	SC	29682	16506	793
89352	IN	456379	311999	13589
89351	VA	353142	248611	10697
89368	FL	4693888	4758477	78305
89375	GA	148851	147436	3013
89397	VT	10722	22219	963
89412	KY	462912	246445	11422
89412	VA	354990	249199	10735
89414	IN	475924	318118	14189
89413	NH	4794	10139	251
89419	OH	434751	774795	12979
89430	FL	4704833	4765605	78592
89437	GA	163863	163152	3512
89460	VT	11909	24061	1040
89468	SC	38551	34660	1152
89473	VA	354490	248023	10677
89475	IN	482822	319198	14364
89474	KY	470018	247619	11472
89481	OH	439864	776973	13051
89483	NC	2026	695	46
89491	FL	4704875	4765612	78583
89499	GA	179221	169316	3671
89522	VT	12215	26956	1116
89535	KY	495490	266549	12213
89534	VA	356294	248949	10750
89537	NH	6264	11504	296
89542	OH	453219	782660	13273
89552	FL	4705149	4765635	78587
89560	GA	189293	173109	3848
89589	SC	39188	35089	1180
89597	IN	489969	320919	14504
89596	KY	507701	270404	12426
89595	VA	358647	250872	10857
89605	NC	2923	950	71
89613	FL	4711031	4768291	78718
89622	GA	189293	173109	3848
89647	VT	13267	32379	1275
89659	IN	490881	321211	14529
89657	KY	515754	272341	12588
89656	VA	360467	252888	10948
89664	OH	466123	788891	13539
89667	NC	3074	999	78
89675	FL	4736607	4777534	79189
89684	GA	220167	190105	4412
89712	SC	39533	35175	1191
89718	VA	369305	255878	11143
89718	WV	16309	17474	634
89720	IN	501189	330985	15063
89725	OH	494741	802833	14007
89737	FL	4747751	4783360	79497
89774	SC	41566	35886	1253
89779	VA	376859	259222	11333
89781	IN	553573	407518	16402
89780	KY	538113	282482	13086
89781	SC	41566	35886	1253
89783	NH	7240	12295	322
89786	OH	531353	821201	14758
89798	FL	4760433	4785747	79627
89807	GA	220229	190227	4415
89835	SC	42094	36218	1275
89834	VT	13445	32662	1299
89841	KY	544305	283967	13343
89840	VA	386569	263237	11622
89839	WV	16584	17577	640
89843	IN	570443	431137	16909
89845	NH	8215	13837	373
89847	OH	548549	843840	15343
89850	NC	3280	1142	94
89860	FL	4813295	4805992	82202
89869	GA	221684	190951	4446
89896	VT	14177	34647	1358
89902	KY	558990	285978	13532
89901	VA	480793	319351	14662
89904	IN	573191	432523	17015
89908	OH	642126	1018832	18650
89911	NC	3683	1460	115
89921	FL	4814833	4806563	82236
89930	GA	238062	250838	5129
89957	SC	44192	38584	1274
89958	TN	0	0	0
89959	VT	14432	35207	1377
89963	KY	574980	291244	13884
89962	VA	491723	322457	14860
89965	IN	577458	431551	17165
89967	NH	8540	14141	383
89973	NC	4166	1543	130
89983	FL	4844642	4826399	83355
89992	GA	235075	249598	5095
89996	OK	0	0	0
