,Unnamed: 0,date,state,cases,deaths,roi,infected
0,0,2020-01-21,Alabama,0,0,0.0,0
1,1,2020-01-21,Alaska,0,0,0.0,0
2,2,2020-01-21,Arizona,0,0,0.0,0
3,3,2020-01-21,Arkansas,0,0,0.0,0
4,4,2020-01-21,California,0,0,0.0,0
5,5,2020-01-21,Colorado,0,0,0.0,0
6,6,2020-01-21,Connecticut,0,0,0.0,0
7,7,2020-01-21,Delaware,0,0,0.0,0
8,8,2020-01-21,Florida,0,0,0.0,0
9,9,2020-01-21,Georgia,0,0,0.0,0
10,10,2020-01-21,Hawaii,0,0,0.0,0
11,11,2020-01-21,Idaho,0,0,0.0,0
12,12,2020-01-21,Illinois,0,0,0.0,0
13,13,2020-01-21,Indiana,0,0,0.0,0
14,14,2020-01-21,Iowa,0,0,0.0,0
15,15,2020-01-21,Kansas,0,0,0.0,0
16,16,2020-01-21,Kentucky,0,0,0.0,0
17,17,2020-01-21,Louisiana,0,0,0.0,0
18,18,2020-01-21,Maine,0,0,0.0,0
19,19,2020-01-21,Maryland,0,0,0.0,0
20,20,2020-01-21,Massachusetts,0,0,0.0,0
21,21,2020-01-21,Michigan,0,0,0.0,0
22,22,2020-01-21,Minnesota,0,0,0.0,0
23,23,2020-01-21,Mississippi,0,0,0.0,0
24,24,2020-01-21,Missouri,0,0,0.0,0
25,25,2020-01-21,Montana,0,0,0.0,0
26,26,2020-01-21,Nebraska,0,0,0.0,0
27,27,2020-01-21,Nevada,0,0,0.0,0
28,28,2020-01-21,New Hampshire,0,0,0.0,0
29,29,2020-01-21,New Jersey,0,0,0.0,0
30,30,2020-01-21,New Mexico,0,0,0.0,0
31,31,2020-01-21,New York,0,0,0.0,0
32,32,2020-01-21,North Carolina,0,0,0.0,0
33,33,2020-01-21,North Dakota,0,0,0.0,0
34,34,2020-01-21,Ohio,0,0,0.0,0
35,35,2020-01-21,Oklahoma,0,0,0.0,0
36,36,2020-01-21,Oregon,0,0,0.0,0
37,37,2020-01-21,Pennsylvania,0,0,0.0,0
38,38,2020-01-21,Rhode Island,0,0,0.0,0
39,39,2020-01-21,South Carolina,0,0,0.0,0
40,40,2020-01-21,South Dakota,0,0,0.0,0
41,41,2020-01-21,Tennessee,0,0,0.0,0
42,42,2020-01-21,Texas,0,0,0.0,0
43,43,2020-01-21,Utah,0,0,0.0,0
44,44,2020-01-21,Vermont,0,0,0.0,0
45,45,2020-01-21,Virginia,0,0,0.0,0
46,46,2020-01-21,West Virginia,0,0,0.0,0
47,47,2020-01-21,Wisconsin,0,0,0.0,0
48,48,2020-01-21,Wyoming,0,0,0.0,0
49,49,2020-01-21,Washington,1,0,0.0,0
50,50,2020-01-22,Washington,1,0,0.0,0
51,51,2020-01-23,Washington,1,0,0.0,0
52,52,2020-01-24,Illinois,1,0,1.0,1
53,53,2020-01-24,Washington,1,0,0.0,0
54,54,2020-01-25,California,1,0,1.0,1
55,55,2020-01-25,Illinois,1,0,0.0,0
56,56,2020-01-25,Washington,1,0,0.0,0
57,57,2020-01-26,Arizona,1,0,1.0,1
58,58,2020-01-26,California,2,0,1.0,1
59,59,2020-01-26,Illinois,1,0,0.0,0
